"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","10µF","",""
"2","C3","1","20nF","",""
"3","EMcoil1","1","3.7mH","",""
"4","Q3, Q4","2","TIP122","Package_TO_SOT_THT:TO-220-3_Vertical",""
"5","R1, R6","2","1kΩ","",""
"6","R2","1","200kΩ","",""
"7","R3","1","27kΩ","",""
"8","R4","1","100kΩ","",""
"9","R5","1","54kΩ","",""
"10","R7, R8, R9, R10, R11, R12","6","DNP","",""
"11","RV1, RV2","2","10k Pot","",""
"12","SR206-TPCT-ND1","1","Schottky Diode","",""
"13","U1","1","LM324","",""
"14","U5","1","L7805","",""
"15","U6","1","SS495A","",""
