Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141,-143.7,-90,top
C2,0.33µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.9,-144.8,180,top
C3,20nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,186.35,-135.3952,60,top
C4,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.5,-132.4,-90,top
Coil1,3.7mH,L_Axial_L5.0mm_D3.6mm_P10.00mm_Horizontal_Murata_BL01RN1A2A2,189.3,-143.4301,60,top
D1,BZT52C8V2_WD,D_SOD-123,149.3,-149.8,180,top
D2,LED,LED_0805_2012Metric,143.8,-149.8,0,top
D3,LED,LED_0805_2012Metric,136.5,-142.7,0,top
D4,BZT52C8V2_WD,D_SOD-123,175.8,-140.2,180,top
D6,LED,LED_0805_2012Metric,171.01,-140.2,0,top
J1,2.54mm_1x03_Servo_1,PinHeader_1x03_P2.54mm_Horizontal,169.06,-95.185,90,top
J2,2.54mm_1x03_Servo_1,PinHeader_1x03_P2.54mm_Horizontal,157.86,-95.2,90,top
J3,2.54mm_1x03_Spare,PinHeader_1x03_P2.54mm_Horizontal,179.315,-101.62,0,top
J4,Barrel_Jack,BarrelJack_Kycon_KLDX-0202-xC_Horizontal,159.9,-144.3,90,top
Pot1,3362S-1-103LF,"Potentiometer_ACP_CA6-H2,5_Horizontal",134.3,-91.7645,-45,top
Pot2,3362S-1-103LF,"Potentiometer_ACP_CA6-H2,5_Horizontal",121.6,-117.2,0,top
Q3,TIP122,TO-220-3_Vertical,184.755,-118.56,-90,top
Q4,TIP122,TO-220-3_Vertical,164.3,-119.2,-90,top
R1,1kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,179.1,-118.54,180,top
R2,100kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.5,-90.4,0,top
R3,7.8kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129,-100.1,90,top
R4,100kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.55,-122.2,0,top
R5,54.2kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.55,-117.2,180,top
R6,1kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.2,-114.5,180,top
R7,1kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.7,-149.8,180,top
R8,400,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131,-142.7,180,top
R9,1kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.7,-140.2,180,top
R13,8kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.6,-136.9,90,top
R14,100kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,159.9,-136.9,-90,top
Schottky1,Schottky_Diode_SR206-TPCT-ND1,SMA_DIO,182.7,-133.3198,60,top
U1,LM324,DIP-14_W7.62mm,152.825,-106.9,-90,top
U2,ATtiny13A-P,DIP-8_W7.62mm,162.9,-108.7,90,top
U3,TPS1H200AQDGNRQ1,SOP65P490X110-9N,157.73,-131.7,0,top
U5,L7805,PinHeader_1x03_P2.00mm_Vertical,148.9,-140.9,-90,top
U6,SS495A,PinHeader_1x03_P2.00mm_Vertical,127.7,-111.7,90,top
##,End,,,,,
